stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022005003952001,Madstugan,57.955225,15.110864,0,9021005003952000,A
9022005003952002,Madstugan,57.955140,15.111626,0,9021005003952000,B
9022005003953001,Kvarnkulla,57.958181,15.096449,0,9021005003953000,A
9022005003953002,Kvarnkulla,57.958344,15.095213,0,9021005003953000,B
9022005003954001,Ukreda,57.835076,15.269165,0,9021005003954000,A
9022005003954002,Ukreda,57.835202,15.269331,0,9021005003954000,B
9022005003955001,Måletorpet,57.755000,15.090711,0,9021005003955000,A
9022005003955002,Måletorpet,57.755089,15.090440,0,9021005003955000,B
9022005003956001,Stattdal,57.725995,15.020507,0,9021005003956000,A
9022005003956002,Stattdal,57.726213,15.021006,0,9021005003956000,B
9022005003957001,Havsjömålen,57.719595,15.012306,0,9021005003957000,A
9022005003957002,Havsjömålen,57.719668,15.012338,0,9021005003957000,B
9022005003958001,Högaskog,57.715069,15.005073,0,9021005003958000,A
9022005003958002,Högaskog,57.715303,15.006577,0,9021005003958000,B
9022005003959001,Gumnarydsvägen,57.707123,14.995217,0,9021005003959000,A
9022005003959002,Gumnarydsvägen,57.707095,14.995050,0,9021005003959000,B
9022005003960001,Slättna,57.697730,14.990899,0,9021005003960000,A
9022005003960002,Slättna,57.697728,14.990647,0,9021005003960000,B
9022005003961001,Lunnatorp,57.688768,14.955337,0,9021005003961000,A
9022005003961002,Lunnatorp,57.687994,14.955053,0,9021005003961000,B
9022005003962001,Dackestigen,57.674315,14.966703,0,9021005003962000,A
9022005003962002,Dackestigen,57.675153,14.965745,0,9021005003962000,B
9022005003966001,Konsum,57.663956,14.972489,0,9021005003966000,A
9022005003967001,Kålshester,57.734447,15.055007,0,9021005003967000,A
9022005003967002,Kålshester,57.734500,15.054821,0,9021005003967000,B
9022005003969001,Tullen,57.671507,14.969768,0,9021005003969000,A
9022005003969002,Tullen,57.671383,14.970073,0,9021005003969000,B
9022005003974001,Tornby Park,58.427753,15.608954,0,9021005003974000,A
9022005003974002,Tornby Park,58.428469,15.607324,0,9021005003974000,B
9022005003974003,Tornby Park,58.429053,15.607629,0,9021005003974000,C
9022005003976001,Norra Rothult,57.940674,15.667095,0,9021005003976000,A
9022005003976002,Norra Rothult,57.941680,15.667210,0,9021005003976000,B
9022005003990001,Svällebäcken,57.693896,14.974333,0,9021005003990000,A
9022005003990002,Svällebäcken,57.693939,14.974131,0,9021005003990000,B
9022005003991001,Danmarksgatan,58.417168,15.608979,0,9021005003991000,A
9022005003991002,Danmarksgatan,58.417150,15.608637,0,9021005003991000,B
9022005004010001,Larum,58.187247,16.344412,0,9021005004010000,A
9022005004010002,Larum,58.187131,16.344206,0,9021005004010000,B
9022005004012001,Tallbacken Kvarnvik,58.195564,16.364602,0,9021005004012000,A
9022005004012002,Tallbacken Kvarnvik,58.195556,16.364415,0,9021005004012000,B
9022005004029001,Övre Skriketorp,58.684036,16.149738,0,9021005004029000,A
9022005004029002,Övre Skriketorp,58.684010,16.149462,0,9021005004029000,B
9022005004029003,Övre Skriketorp,58.684828,16.149022,0,9021005004029000,C
9022005004035001,Snickaregatan,58.196240,16.013134,0,9021005004035000,A
9022005004038001,Axels park,58.195870,15.991095,0,9021005004038000,A
9022005004038002,Axels park,58.195889,15.990483,0,9021005004038000,B
9022005004040001,Gamla torget,58.199245,16.003646,0,9021005004040000,A
9022005004041001,Strandgatans vändplats,58.193817,16.018034,0,9021005004041000,A
9022005004042001,Borghamn Värdshuset,58.384664,14.696598,0,9021005004042000,A
9022005004042002,Borghamn Värdshuset,58.384637,14.696513,0,9021005004042000,B
9022005004043001,Höga,58.454921,15.691208,0,9021005004043000,A
9022005004043002,Höga,58.454975,15.691397,0,9021005004043000,B
9022005004044001,Karstorps vägkors,58.443261,15.683199,0,9021005004044000,A
9022005004044002,Karstorps vägkors,58.443323,15.683250,0,9021005004044000,B
9022005004045001,Skogstorp,58.504334,15.507322,0,9021005004045000,A
9022005004045002,Skogstorp,58.504945,15.507437,0,9021005004045000,B
9022005004048001,Lina Gauffins väg,58.705502,15.758906,0,9021005004048000,A
9022005004048002,Lina Gauffins väg,58.705663,15.758958,0,9021005004048000,B
9022005004049001,Knektvägen,58.703068,15.756167,0,9021005004049000,A
9022005004049002,Knektvägen,58.703247,15.756356,0,9021005004049000,B
9022005004050001,Lillsjötorp,58.701946,15.757031,0,9021005004050000,A
9022005004050002,Lillsjötorp,58.702018,15.757083,0,9021005004050000,B
9022005004051001,Gerstorpsvägen,58.426917,15.491702,0,9021005004051000,A
9022005004051002,Gerstorpsvägen,58.427234,15.488892,0,9021005004051000,B
9022005004053001,Parketten,58.200416,15.054328,0,9021005004053000,A
9022005004053002,Parketten,58.200604,15.054273,0,9021005004053000,B
9022005004054001,Hamra Östra Skrukeby,58.500094,15.823807,0,9021005004054000,A
9022005004054002,Hamra Östra Skrukeby,58.500148,15.823653,0,9021005004054000,B
9022005004055001,Lövsätter Östra Skrukeby,58.499635,15.829690,0,9021005004055000,A
9022005004055002,Lövsätter Östra Skrukeby,58.499698,15.829450,0,9021005004055000,B
